Ramp,Metered Ramp,Archive Detector ID,RT ID,Detector Name,Longitude,Latitude,Link I Node,Link J Node,Link ID,Distance from downstream (J) node (ft),Distance from downstream (J) node (mi),ImrcpId
x,,7696,567,I-435 W @ SB US71/BANNISTER CD,-94.5399,38.9396,14708,11592,14708-11592,0,0,292204808
x,,7776,536,I-435 N @ BANNISTER ROAD FR,-94.53124,38.95038,14712,11187,14712-11187,0,0,280127546
,,7469,149,I-435 W @ GRANDVIEW RD,-94.55075,38.93926,14722,650,14722-650,0,0,330230830
,,7533,145,I-435 W @ EAST OF HOLMES RD,-94.57971,38.94057,14723,11575,14723-11575,0,0,344183974
x,,7421,429,I-435 W @ HOLMES RD FR,-94.579058,38.940565,14723,14774,14723-14774,0,0,399629600
x,,7790,552,I-470 W @ I-435NB/US71 FF,-94.52212,38.93365,14725,11664,14725-11664,0,0,325809556
,,7791,553,I-470 W @ HILLCREST RD,-94.52215,38.93369,14725,14726,14725-14726,0,0,460306625
x,,7764,523,I-49 N @ US71NB TO I435WB FF,-94.52662,38.93174,14728,11664,14728-11664,0,0,520793165
x,,7784,546,I-470 E @ US71NB TO I470EB FF,-94.52456,38.93253,14728,14724,14728-14724,0,0,308701049
x,,7767,526,I-49 S @ I-470EB TO I-49SB FF,-94.52843,38.9309,14738,14740,14738-14740,0,0,371754683
x,,7769,528,I-470 E @ RED BRIDGE OF,-94.53026,38.93259,14738,14746,14738-14746,0,0,431199717
x,,7766,525,I-49 S @ I470WB TO US71SB FF,-94.52807,38.92792,14747,14750,14747-14750,0,0,330617495
x,,7789,551,I-470 W @ RED BRIDGE OF,-94.52816,38.92782,14747,14751,14747-14751,0,0,341819886
x,,7763,522,I-49 N @ RED BRIDGE OR,-94.52722,38.9291,14752,11762,14752-11762,0,0,322460102
,,8116,959,I-49 S @ Hickman Mills Drive,-94.5248,38.9123,14755,15214,14755-15214,0,0,504232470
,,8117,960,I-49 S @ Red Bridge Road,-94.5279,38.9228,14756,14755,14756-14755,0,0,277461681
,,7973,822,I-49 N @ I-470,-94.5299,38.933823,14761,11424,14761-11424,0,0,312031455
,,7785,547,I-470 E @ I470/US71 SPLIT,-94.53187,38.9343,14762,14765,14762-14765,0,0,340590093
,,7972,821,I-49 S @ I-470/I-49 Split,-94.532104,38.93544,14763,14764,14763-14764,0,0,510043381
,,7771,530,I-49 S @ AT I-470EB R,-94.52838,38.93105,14764,14740,14764-14740,0,0,378073071
x,,7698,574,I-49 S @ RED BRIDGE FR,-94.52913,38.932,14764,14746,14764-14746,0,0,496921747
,,7786,548,I-470 E @ W OF 71NB TO 470EB F,-94.52489,38.93238,14765,14724,14765-14724,0,0,366133878
x,x,7390,417,I-435 W @ HOLMES RD OR,-94.584,38.9409,14772,654,14772-654,0,0,512039000
,,7527,137,I-435 E @ WEST OF HOLMES RD,-94.58422,38.94032,14776,14782,14776-14782,0,0,469644076
,,7454,139,I-435 E @ WEST OF 104TH ST,-94.57479,38.93994,14779,649,14779-649,0,0,280434738
x,x,7580,205,I-435 E @ HOLMES RD OR,-94.5815,38.9403,14780,655,14780-655,0,0,436531355
x,x,7394,422,I-435 E @ HOLMES RD OR,-94.5835,38.9404,14781,14782,14781-14782,0,0,513676279
,,7528,138,I-435 E @ EAST OF HOLMES RD,-94.57991,38.94012,14782,14779,14782-14779,0,0,347678801
x,x,7418,426,I-435 W @ HOLMES RD OR,-94.5824,38.9406,14783,11575,14783-11575,0,0,397684763
,,7531,142,I-435 W @ WEST OF WORNALL RD,-94.59897,38.94003,14786,11573,14786-11573,0,0,432844614
x,,7574,200,I-435 W @ WORNALL RD FR,-94.5957,38.9409,14786,14787,14786-14787,0,0,384587278
x,x,7344,356,I-435 W @ WORNALL RD OR,-94.5988,38.9401,14787,610,14787-610,0,0,420417531
x,,7316,323,I-435 E @ WORNALL RD FR,-94.5992,38.9396,14788,11561,14788-11561,0,0,499955223
,,7526,136,I-435 E @ EAST OF WORNALL RD,-94.59477,38.94053,14788,14785,14788-14785,0,0,404124449
x,,7330,340,I-435 E @ INDIAN CREEK FR,-94.612206,38.935196,14794,11630,14794-11630,0,0,283623321
,,7647,64,I-435 E @ STATE LINE RD,-94.6104,38.9359,14794,14796,14794-14796,0,0,284209767
