mlplink,tmc
3649842378840097160,119+04459
3663322580377773097,119P05921
3661452109234650881,119N05951
3664717912172874205,119P05920
3676135215144945683,119-05909
3663742701189628681,119P12988
3671498875258044579,119P04385
3668409866059216600,119P17205
3670100854809975026,119N06950
3666975265377173272,119P04424
3668589236779272704,119+17251
3676272692750247624,119-05983
3664914634559933473,119P05920
3675731848996576000,119N05900
3680120910435103280,119N07043
3660115339315297845,119+04671
3679879301342475995,119N05875
3647656257665043947,119-05642
3670927511460251780,119N04631
3678416422597370996,119+17113
3669607882760763716,119P04718
3668222326312271230,119N04577
3672402922922841780,119+17017
3673399398282051773,119N05043
3676162896210027274,119P07266
3648039974338242760,119-05643
3668407439401960585,119+17485
3669448767107508636,119N04420
3650477595913270262,119-05037
3673392912883399423,119-04640
3664990986190643300,119-12421
3650340371708146881,119+04459
3688150566542129424,119N04430
3666852059944906570,119-04415
3668814366078510820,119P16509
3670163849098441536,119+12929
3677384114323990886,119P05906
3658740245405244693,119N17472
3680591625965473457,119+14288
3668737456099221649,119-04369
3672515549851766098,119N17285
3664926411357505240,119N04410
3671689649116552804,119P08559
3669672784009511452,119P06950
3671411541393600879,119+04569
3671837254253974885,119-04618
3665805805914093303,119P05917
3669902410143900951,119P17517
3668266555884512567,119P14377
3676427582158537405,119+05910
3663388125869699530,119-04658
3670765604081095682,119-16919
3669822467917872593,119P17205
3672275100398474076,119-05043
3668378843510819621,119P04579
3670749025507399448,119+04680
3679322003568352240,119N07042
3676667065239866605,119P05909
3664183167269688120,119P05921
3652288328352358672,119-10219
3666445902068423909,119N04597
3670800384726434927,119P17219
3662993603062487398,119+17342
3658430853143990944,119N14054
3661241930715074560,119P14313
3672788520791233605,119N14197
3655731156958825869,119N04669
3651737812329180630,119+10220
3668362784628231327,119+04580
3654325036207140080,119P04459
3664562734999178629,119-04651
3677150365024097486,119N05907
3668489924250435640,119P04581
3670896501799324952,119-16919
3672910394783171948,119N14197
3666300452999776557,119N07010
3658602630360818055,119N14054
3655797286571738639,119-04676
3671676407732379097,119P08559
3668157553910443969,119-04546
3678279864112691178,119P06998
3674674432341374704,119-04438
3668840333450678476,119+16914
3675775047777632225,119P05910
3661530475208939858,119P05921
3664994916085742430,119P13003
3685875479416966135,119-09613
3663138158777099117,119N05921
3662847260641803261,119-05921
3661319742636157121,119+04462
3670117003889887737,119-12928
3678152934943333214,119N11392
3661147557399328132,119+04561
3663355995219344584,119N04658
3655803922296279065,119P05970
3672262151074380020,119N12984
3672609536619662572,119P04443
3673119881815473406,119+17268
3667428899824506070,119-04573
3671427471426736184,119N17200
3666142028836058840,119-10418
3668515337570842958,119-04373
3663092163972074765,119-04557
3670631931814015585,119-04679
3668327634615153337,119N07153
3665312932647057756,119-05921
3672212436829059043,119N16919
3672490750710581565,119N04386
3666301698540287959,119P07010
3659399875073346293,119P04674
3669781979262027912,119N04573
3682234274860465009,119N05876
3647591682831736614,119N05642
3684596051609188195,119-07043
3668361032281425205,119+04552
3672159716104411115,119+12985
3672554569629675298,119N09646
3677537320102128491,119+14306
3657034512030258071,119N08548
3665756104550328275,119P14376
3651995660692867320,119N04668
3669103374427611215,119N12726
3669360247831554537,119P16784
3670500089203813336,119P17226
3676524102959773029,119+05942
3668584224552897112,119P05957
3664708334392843940,119P07008
3671590856277322282,119N04681
3669233348728068633,119N04377
3670493440594444770,119N17226
3677912665883968957,119+05904
3681147326014462019,119P07043
3656056758430685760,119N04675
3666585209333793896,119+04574
3661521537381970413,119P04560
3672497888945783553,119P04682
3671552622478794253,119N17200
3664904700297616645,119P07008
3649095161903539860,119N04665
3671836176220822580,119P08559
3672164462045495680,119-17268
3668335494405651514,119+04550
3664771083867989577,119N05920
3680518989477905180,119N04434
3666545510951598113,119N05917
3672631475312810175,119P14281
3664703554092929558,119P04655
3662793595022179644,119N04404
3663367827854324679,119-07110
3668878528594833381,119N04425
3659144513499247313,119N14054
3664963240701925110,119-07008
3668147203038234134,119-04721
3670962579868321620,119-04631
3665798637612814279,119P04552
3668218224618465135,119P04576
3661151972625695225,119+04561
3670624772103535547,119N16920
3664994185943812960,119P04556
3676505853642478822,119N05909
3660870128279737274,119P04462
3666289290379759826,119P07010
3661250735398102940,119+04561
3669724860491091261,119P17205
3664807569615176865,119N05920
3669649359257886734,119-06949
3664755278388348102,119N05920
3668492801877699650,119N17205
3669629804274913887,119-04381
3674133734615495247,119P04389
3680814440279217730,119P07043
3668453159329124415,119N04372
3668523704167391315,119N17205
3677155304236488236,119P05907
3670641045734840839,119N04682
3670512828076855457,119-17268
3672504898332413204,119N04682
3674056566938085805,119-05899
3671048513573767603,119-04630
3676887530205747950,119+05908
3658635744558654280,119N14054
3668756298120727750,119-16509
3667852984895337350,119N04573
3672571753792372260,119P14229
3667271171444655390,119P17204
3668958509477373191,119P04571
3666661002620571246,119-12952
3672052449298294650,119-05939
3650374289064884975,119+04459
3664991093564768120,119N13962
3666992011456721540,119N05917
3663141964118126411,119P05921
3668327501472092977,119+04581
3663341138927467412,119P13864
3666797299112231527,119N04467
3664971229341032725,119-07008
3668004893592721883,119N17204
3665854051281182149,119-04573
3668470493817286816,119-13795
3667118180414627417,119P17205
3670812685512785522,119P07137
3671837649394432983,119P17270
3663211572652859537,119P05920
3667296997084412951,119P05917
3661896384945368491,119N04463
3670897987855200425,119N06951
3673433130959335725,119+04682
3672346538592148848,119N14229
3676669002270101974,119P05909
3652241822446442576,119+10220
3657066007025431767,119P08548
3685229224276723552,119N04431
3666749874083327834,119+04469
3671598209261331917,119N04681
3668891374842024890,119+04427
3675755226503565570,119N17299
3664581765999981377,119N04654
3671770720919181060,119+05915
3672551889570058605,119N04386
3650711091810322629,119+04459
3668058580681677058,119-06947
3664578390155699295,119N04654
3658657051891445737,119+04461
3662037131025030248,119P05952
3668845891139083522,119N17205
3663057580893363619,119+04466
3675791218330025562,119-07135
3664572312776702962,119N04653
3663388405042585260,119-04658
3657197140967280575,119-07045
3671680724172163279,119+16931
3672300676932441335,119P04682
3662992688234751664,119+04477
3670202546750647014,119P04632
3668823132106657838,119+16914
3668871776906151022,119+04454
3656099665153958942,119P07045
3669401943371833998,119+06950
3672532003871466140,119P04386
3665723699021906792,119N04607
3662852745313060376,119+04588
3665662332529924938,119N04598
3673360906789933219,119P04388
3667809064560278027,119P05917
3664803188748552650,119P05921
3666916613303359021,119+04415
3667836058425356870,119P16836
3672490179479922864,119N04386
3662010626780394617,119P04588
3670927442740921900,119N06950
3678148081630277313,119N11392
3670652882664521846,119N17219
3667788607631043743,119N05917
3662077173005125950,119N05952
3670992880862636930,119P06951
3669021679856356617,119-04571
3665779907259093115,119N04723
3662878532296703887,119-04587
3679252626960986643,119+07103
3664695204680792622,119N04558
3661641152218797093,119N04463
3670794947297845176,119P17219
3671028078119627665,119N06951
3668369020920007960,119N04600
3658538467844512345,119P14054
3671752789430655250,119N17270
3668352614145301993,119+04550
3668360847596619165,119P04690
3671968401079104698,119N04629
3671061596044582007,119-04633
3680055498083182679,119N07105
3670742501452079000,119+04680
3677404214770853140,119+05906
3678109508530025399,119N16943
3662962546153980813,119+17342
3667228698512554572,119N14040
3668895927508893638,119-17319
3669852708784007465,119P05917
3667202378953486955,119P17205
3665076563416363315,119P05954
3665523188475521898,119N05953
3671654073902293827,119N17270
3655391755759880310,119P14029
3668349135221808815,119P04550
3671382936910518275,119-04680
3674731581176222636,119P04440
3673009793212842391,119+04682
3668905032838756045,119P17205
3673123983508920409,119P17285
3664994529538652747,119-04408
3664993434322041675,119P04409
3668295014338105745,119+05924
3677103008714692395,119P07040
3667823839243398430,119N16836
3679310385681813460,119P07042
3663251717712362155,119N05921
3676590185325255134,119P12929
3665004480980426891,119P04556
3680266015905196265,119+16950
3668900673446218450,119+16914
3669117655193850995,119-04610
3664990917471178389,119N04409
3655129513645037327,119N04669
3667730973463720836,119N17197
3670621044072144360,119+12929
3670303873619086927,119N06950
3649933174448737582,119-05037
3647791570610817262,119-05037
3667875791170772485,119P17204
3664836908535097965,119N04592
3661021603186329716,119P04462
3664199921934351829,119-07008
3650259012142654701,119+04459
3652460960271049269,119-05038
3668559446886400264,119P05956
3668591143745589840,119-05958
3686551764964730175,119-08557
3655024918308402714,119P08606
3664954603525570195,119P05920
3662806497105203364,119+04467
3682226818797241240,119N05876
3659682127438563847,119N04400
3665257527566015464,119P07008
3682011872865322020,119P04433
3670802961706883188,119N04382
3671768423111551924,119P17270
3656852040344828024,119N08549
3668540274152309676,119P17251
3669363765409781087,119N07053
3665453734558312770,119-04592
3669070775625899985,119-04423
3669714823151220125,119+07014
3668565021753965095,119P05956
3676662838992049910,119N12929
3668421483946540980,119N04581
3652413492289305882,119-10219
3664962398888454241,119+07009
3672362236698717773,119P17219
3673208633018776690,119N04681
3664437493757117465,119+05951
3664888985013156489,119P04588
3665701335128603025,119N17325
3664180899526938474,119P04558
3668573972465439435,119P04581
3673358870975689251,119N17267
3670678480669546772,119P16920
3663301401890197243,119N12417
3657075039340617092,119P05966
3669893957647147736,119N14402
3670495953150348965,119N17273
3670178950200319908,119N06950
3672723756979393820,119N04677
3668562079701479410,119N05957
3668740870598773691,119N17205
3668323773440419640,119P04580
3670173783354647661,119P06951
3668252833464964929,119N04577
3664158814804546305,119N05953
3670078203155589995,119+12929
3675855432386069715,119+07266
3668075584459438210,119N17204
3668295873332982172,119P04581
3660949486391666745,119N05951
3664986240251855485,119-04409
3664992141539724540,119N05920
3673434758747786984,119N05043
3664950841134236528,119N05920
3668854768835818501,119P04428
3664698498917996555,119N13004
3671111400485429147,119P04634
3664975180711128159,119N04410
3676673378839067852,119-05981
3680589779129537258,119-16952
3668263901595680110,119P04577
3670936036970475315,119N06951
3664956798250917150,119P07008
3667624600008704818,119N17197
3670675770545245139,119P17219
3655336148818279264,119N14029
3665782063331950231,119P07009
3670665776156292330,119P16920
3670900397334663051,119+16920
3667104217475411005,119P04474
3663374553773116490,119-07110
3671953390171820496,119-04681
3674495207650372104,119P17035
3666523005322435883,119N05955
3679289018219516885,119P07042
3649890203299854260,119N04666
3665725210851946610,119N04552
3668711003397481664,119N05917
3676279985604694260,119-05983
3664800074897246605,119P05920
3669798983037557595,119P17319
3672336402470413964,119P17219
3671406808339636470,119P04569
3669602879122757720,119P14248
3668547133215132125,119+05956
3662375763427416721,119N05921
3670678197201775173,119N17219
3673266099681809890,119P04388
3656080281966573030,119N04675
3669079876661552319,119N04724
3662234476179434179,119P04403
3664941692850932000,119N07023
3672544523696790505,119-05043
3655968917759612946,119-04675
3665008479594949690,119P04556
3672340061782548990,119P04682
3662252454912535321,119P13882
3668331319697941029,119P04580
3671248216671633634,119+12929
3672783774853373260,119N14223
3669687610237570402,119P14248
3664991961148145371,119-04407
3654634578795141799,119P04459
3670224485444703649,119N17035
3665900372504011027,119P05917
3666213905112868366,119-06947
3672173524426492815,119+04568
3670341501832088053,119N05917
3678117711917414750,119-06997
3654630292417781398,119N04459
3668296569116077154,119+04687
3671746991223848873,119+09646
3664366231660745809,119P05921
3658541620347642885,119N05962
3677291630793201794,119N14307
3669625857200837790,119+04573
3671292562207844735,119N04445
3674437186937871730,119N04438
3670819823748483940,119P07137
3667073242171145201,119+04456
3668934195665967201,119P04427
3668744319458814516,119N05917
3672554724248456360,119P04386
3665937356464775901,119P10414
3681875662271779808,119P14087
3662874181494829248,119+04588
3662627469983408174,119-04466
3669317628872858969,119-17319
3686290381845020730,119N08558
3666956440536203579,119P17205
3679861743518329715,119+16950
3667191121843666594,119P04474
3668528012020678523,119N17251
3670769997832639874,119+16920
3671327029322119640,119+04570
3655307252278335105,119P05971
3658082385265212107,119P04670
3664405599328665867,119-09640
3672344313800175076,119N04682
3657086700176851135,119-04669
3675829868737183344,119N05874
3661539803877905060,119P04560
3661113816136234529,119+04561
3668528235357875850,119N17205
3668857590629286646,119P07151
3665780444129989550,119N04421
3669039727304935536,119+06950
3668561899312450589,119+17251
3670536089619028295,119+12929
3676583124399021390,119P12929
3676516896004651230,119+05942
3672585626538139824,119P04386
3677188358304787145,119P05907
3680135027992130243,119+16949
3664961982276627399,119-07008
3661008885789372819,119P05951
3671867271783899732,119P17270
3674047882514215579,119+17267
3667184692277481831,119P04424
3679339144782829310,119N07042
3676578906741154161,119N05909
3663141087944798934,119P05921
3649194946878738317,119N04665
3668436451907568365,119P04581
3672437544655719170,119P17285
3656764818149008610,119N08549
3680550252544849282,119-14289
3679288064736776291,119P07042
3665006813144354005,119P12417
3666681433781087783,119+05954
3671682828708320629,119N14319
3671667581574584139,119N05915
3669827231034989818,119-07146
3670697430065511280,119+12929
3684519300543606710,119+09614
3670955312783552247,119P04631
3669099904094119507,119P04424
3668933164875349517,119-17319
3658373871812834103,119P14054
3659340574461338184,119+07048
3672290124196388053,119P12984
3669246718961159367,119P04454
3680903496425748337,119+14288
3670497306065050765,119N17273
3672535091952939630,119P04386
3680079141877829929,119+16950
3672208030191401240,119P14197
3669413342217550675,119-13791
3684999434937625109,119-07043
3671367380537120187,119N17035
3673455688123422851,119N05043
3672459710981559830,119N04382
3674104704931553165,119P04570
3676317506438976045,119N05983
3655796612261747542,119N04676
3668552437499827270,119-05956
3659560214794852905,119P05951
3670500458571053566,119N17278
3673121058635610340,119+04682
3661472033584758177,119+04671
3676692319647324435,119+16497
3664580735211839957,119P05953
3666194908473418774,119-10418
3667541299115453846,119+17162
3665772992363406340,119-04573
3675095008425024065,119+12929
3670796600860253900,119N17219
3671555242409388350,119+04569
3663887540375804755,119P05921
3668458317584826284,119-13793
3671154019446123482,119-04635
3672544158628911710,119P04386
3669126846423850920,119-04421
3661050993645919886,119N04674
3669839033606731736,119P17205
3662866807037982934,119+17342
3664456271354136233,119+05951
3670493225846063925,119N17226
3668031324819203039,119+17162
3677367857872750465,119P14307
3661003173482867675,119P07115
3670503778580757163,119P17226
3681613153872425640,119N07043
3665007307065543756,119+12417
3676591366441264468,119N05909
3670659226331167205,119P04679
3669614080398635616,119P13036
3672497197456121922,119P07137
3673446986521669710,119P04641
3679540492849663873,119N07042
3656582668586028600,119P07045
3664531282953524013,119N04651
3668465958332917575,119N04581
3671849542159016787,119N05915
3678038001619517680,119P16976
3650348699648655807,119-04666
3666986385047520682,119+04425
3679520907798731816,119-07041
3664997514540870375,119P12421
3663909165536073023,119P05921
3684069114953987499,119-05877
3666119703597938847,119N17325
3649976373228726084,119N04667
3666989408704550517,119P16751
3671684864521897231,119N16924
3672830267874330293,119P14223
3654989768295994499,119+08606
3662842510407983880,119N04557
3650446294191605965,119+04459
3670988113448938782,119N06951
3678986003981063865,119+16948
3662593612756213829,119-04466
3663392584045697290,119-07109
3656956060156734225,119P04670
3660956654692081733,119P07115
3663043355963976291,119N05921
3668154332684973009,119-04546
3664989654750809535,119N04409
3686394006523635497,119+09614
3670947096511928300,119N04640
3664748599714204050,119P05920
3670020946946567601,119P17205
3652245559070016693,119N04668
3669518654815300347,119N04609
3663693223170365799,119P05921
3672175976852616276,119N09647
3668164825291351244,119P05917
3671879662764103585,119P17298
3668480196148681245,119P17205
3670960518284012115,119-04631
3668600785946961993,119+05958
3656574881810323041,119-08549
3660988729507685720,119P07115
3670191856578191725,119N04644
3666014884922046909,119N05917
3671752282624453526,119N17270
3647794285030147252,119+05038
3668871214265436067,119N04688
3671489873006253515,119P04681
3662006791374625468,119N04588
3665000606917425092,119P04409
3662993998199797055,119N05921
3670648347179013740,119P17219
3669599915595324670,119N14248
3664367030524659404,119N05920
3662300167705661405,119N04466
3672997685700599670,119N17285
3668233415916772278,119N04419
3665976475026628442,119+10418
3677335924791009538,119P16981
3676887014809663945,119N05907
3654323962465317239,119-05038
3668426869835524694,119P04581
3665042585927679378,119N07023
3668576381942510159,119+05957
3672420772808432457,119P17285
3671981071236836128,119-09647
3655679363949797573,119N04459
3663825241874100727,119N05952
3672189729336965266,119-14144
3650548484348485450,119+04459
3666646270883827519,119N04574
3668122116135226421,119-04544
3670453901125584404,119P04570
3650146320790739301,119+04459
3661383114881035470,119P05921
3663378913164950057,119N04402
3667120985027714716,119N16496
3669721974273056057,119P04543
3668624004538652567,119N04546
3665844623825958893,119-13034
3658703579272132143,119P14054
3665697293564524550,119N04552
3665698612119480629,119N05952
3671088027276375692,119N17200
3652511503446189571,119+04459
3668313933669739614,119+04548
3670632782217543866,119P17219
3679012860412321506,119N07042
3669617808429943889,119N13029
3682386570105815929,119N05876
3672500590480671620,119N17285
3663180910880792539,119+05952
3670486912244139062,119P04569
3668882634583607525,119-04427
3672794065596032751,119P17285
3669736882102391770,119N14248
3670894148154439508,119-06950
3671550990391217264,119N17200
3654999857174540020,119+08607
3680047466494342135,119N07043
3662872966019085850,119P04466
3681160666182891589,119N07043
3663665628005597197,119P05921
3665696039434088268,119N04552
3671673117787399011,119P05915
3670443507304725679,119P04570
3663048479856350878,119P04404
3668363738110841165,119P04579
3671669991051198529,119-17270
3657060827294849169,119P08548
3664258758693526520,119P05953
3664994014142617950,119P13003
3679020209101362525,119P07042
3672265020113949783,119N17219
3650950467516493222,119-04666
3667788891094544236,119P16836
3666091743361812285,119P05917
3670492276658327924,119N17226
3676704160869667567,119-05981
3671860885167674927,119N08559
3681514842071018015,119N07105
3667879313043282185,119N04686
3671434184461863360,119+05916
3686220013100843429,119N08558
3670115865721625358,119N14251
3655495367550875697,119N04459
3664830998660099475,119+04599
3671441417185554593,119N17200
3676733899225667115,119P05908
3662439088422845705,119N04466
3665713000258379616,119N04607
3658491609748432746,119N05962
3666342913046471340,119-07010
3665661791365685224,119P05917
3665793638270092829,119N04598
3652730838834859734,119-04667
3672473777000225645,119+04568
3655019669858175148,119+08605
3664411187081117535,119N04586
3657077251247827340,119P07006
3661234435997107580,119P14313
3654210369170270548,119-05038
3658502089471408541,119N14054
3668460435003746478,119-04372
3661049829711400125,119P04462
3663423748328365456,119-04657
3668083100653142564,119-04572
3670607295881836544,119N04682
3663198825187900966,119-04462
3668431727443547945,119N04581
3668326908765697540,119-05928
3668364511204921865,119+04552
3677918279406195490,119-14304
3667150753446056905,119P04474
3674049630565903535,119N17278
3670737437685641660,119-04679
3674074129059347191,119N04568
3680594366153956633,119P04434
3657008767995263995,119P04670
3668330623912698710,119+04549
3670085148118484704,119+17319
3662694939624653950,119-04466
3669064749786765077,119N14048
3671500292597243420,119P17200
3672281985234469634,119P16919
3672720875057320480,119P14223
3668412644902462401,119N14143
3668584237437746714,119P05957
3671012165265796140,119N06951
3666995614933187301,119P17197
3660604510323152823,119N05951
3672465191360201793,119P17285
3664990707017788290,119N04409
3665688214002112043,119-09640
3669558134154510774,119-04414
3671666494947713755,119P17270
3672728700487718233,119-07033
3668886371205157555,119-04473
3670635488044004775,119-06950
3682573499967439552,119N05876
3664139246934118615,119+05921
3680240138727236900,119N07105
3658437145271059240,119N14054
3666145323075973535,119+07010
3671872511644000075,119P14319
3666993222635451603,119P04472
3669811258051890122,119P07012
3668953329746820690,119P04571
3685084131691536275,119N04431
3668571206506947015,119+05957
3669949032013903127,119-12928
3664617689105175562,119N05697
3677388392111240851,119P05905
3672224424082808465,119N16919
3667996694500156847,119+04602
3670615267341846240,119P17267
3658414678297206464,119-07114
3656620782124580706,119-04669
3668855915592091429,119P13792
3648103582803896485,119-05643
3667702532191457200,119N05917
3661627176395212002,119P04463
3663313522288047732,119N13882
3667161727087518330,119P16509
3668281017040361590,119P04577
3666561239121296801,119N04574
3675285928309325445,119N05872
3655875527990773104,119+09639
3676883145044564971,119P12929
3650184631899024774,119-05037
3668747729660989652,119+04370
3670649000014041473,119N04679
3677944156584119557,119N04709
3670970143308707248,119-04679
3668305987979358884,119P04686
3685533033083369316,119N04431
3677067927421878872,119N05907
3664388874728326630,119N05920
3664990256046226285,119N04409
3670973613639326046,119N04632
3676704362735695031,119P16497
3655730212066025811,119N04669
3678396201891830350,119N06998
3669687137794747022,119P05917
3670163737429293085,119+12929
3671783597230811191,119P05914
3668154551728313679,119N17205
3687979085679036113,119N09615
3658899511385044978,119P14054
3667230158801431565,119+04368
3666760074630660272,119+04468
3658543514430985027,119N14054
3664980704039010876,119-04409
3668137277369701873,119N04602
3660903294018398056,119N05951
3668884094872452154,119N04425
3661271767852879880,119P14313
3670908991561270002,119N04631
3667659342000342976,119P05917
3668761580930502061,119+13793
3677909530557844567,119N16938
3679536150637663695,119-07041
3665578692335510226,119-17396
3667166537450874380,119P14040
3664064969769131240,119P05953
3671658695287249233,119N08559
3675813994541060038,119P05910
3672826647215895269,119N14197
3657199799552035169,119+09639
3662161152497761977,119N12418
3671516909825718850,119N17200
3663492893010900031,119N05921
3664834928554121560,119+07009
3678218536273759030,119-11391
3666222095616408375,119-10418
3668316837066749955,119P04686
3668561950852446960,119N05957
3650436029219768020,119+04459
3669700568156943990,119-04572
3665813949169161423,119N07009
3677947450824049394,119+05904
3678187367697012898,119P06998
3667268886522057513,119P17204
3665494648417874066,119N05954
3668543740187421592,119+17162
3668167402267279436,119N06949
3681141489153915382,119-16949
3664990857341602631,119-04408
3665900488468121190,119P05917
3669099057985486980,119-04422
3672510679358808654,119-07138
3665566271292483189,119N05954
3668148908141294426,119-04595
3664462322964056679,119-05920
3664998072886678225,119+04409
3667623539151783694,119N17197
3668886822176699380,119N07151
3668203041909076455,119P04576
3666359143727883519,119P07010
3672587756839994823,119N14197
3664893791081558915,119N04466
3670098273537764398,119+12929
3667280886662082477,119N05917
3677317580985714679,119-05906
3663020687126248178,119P04557
3666664326925261056,119N04373
3664251839501216403,119+05953
3667914033556573868,119P16836
3662274247579516980,119N05952
3663008747117214753,119-04557
3671719804081336995,119+04570
3671334889109500257,119P17035
3663290458317192296,119P05920
3667740362261322902,119-04454
3675777075002198322,119P05910
3655213067940523603,119N14029
3656123983258799040,119N04675
3672548981877244113,119-04386
3668558837001070045,119P05956
3669632179390518775,119N09560
3664552512982304809,119-05919
3656843343036056824,119N08549
3667776787878964370,119-04685
3651446291426056310,119-04666
3668816870044349077,119N04475
3668257630942668790,119P04378
3677931443480957380,119+05904
3658875545467604179,119N14054
3662092548988043026,119N05952
3668401851651521274,119N05917
3649685741382810270,119-05037
3659710182164956177,119N04400
3672533511404988193,119P04386
3672458108958769710,119N04382
3665360207351483263,119N14312
3665000220370370925,119-07008
3659114491676244481,119+04671
3670614129174800180,119+12929
3665801966211098746,119+12427
3678174551514583683,119P14289
3668184242837238035,119-04595
3672795285366747400,119N17285
3669594160340277083,119-04416
3664999219642925646,119+13003
3668355925564734840,119N07153
3672489187342462892,119N04386
3669121421880255818,119+05923
3672959804084492816,119-05043
3660533836638050009,119P04561
3668343268296454173,119+04550
3658849462131186481,119P14054
3668405764366227785,119N04581
3669511611068947055,119-04418
3671817162396952925,119+04619
3672298928879272778,119N04677
3670491134197044988,119+04568
3671828028667860732,119N05915
3670570651220619199,119N04679
3669404894014368592,119-06949
3666985822406816515,119+04425
3668385921616300765,119N05928
3670631923224090371,119P17219
3663590393063375499,119P04558
3666790873840835986,119-12424
3661294436691105145,119+04561
3665720761264288489,119N04607
3672530925834633691,119+04386
3665700961465298161,119P07050
3655568815786455930,119N05970
3668531636971146566,119P04453
3669440907317357120,119N04420
3664885596285474959,119N05953
3662994273077371765,119-05921
3665777527846991452,119-04606
3662068673263442812,119N04463
3665811561167341405,119P07009
3672705610743464214,119N14223
3669593245511979203,119+10414
3677129856555280564,119P05907
3671987479328147342,119P04570
3665777738300675614,119-04724
3677174004526387460,119+04392
3670645203262960393,119-04679
3665506747339640243,119N04599
3673330734644033972,119N04681
3676649674917267450,119P05909
3667763224372330572,119N04473
3655012089241789692,119+08610
3668133527862646646,119-04472
3670999323313602868,119N04632
3663034650061637113,119P04662
3672293328239654927,119-05043
3671934230323168804,119P17200
3674088671818624695,119P05899
3668415578364872700,119N04451
3669640601823566887,119+04573
3656836466793415262,119N08549
3662848300021907019,119-04587
3668102642753442949,119-04602
3676804027451994811,119N12929
3668108612758011451,119N04603
3669155725784123093,119+16914
3676664556978966930,119P12929
3669855629361758265,119N05917
3672309202442525250,119P17219
3673865788785767171,119+17267
3669113081053687165,119-04723
3687103758456593213,119-08557
3671970170609944323,119-17268
3673316479648198539,119N04388
3680120523888044130,119N07105
3664569048601819565,119N04654
3666830778381947068,119N16811
3670074702756985585,119+04679
3668889175818789062,119-07151
3668622771884757655,119+05959
3670801127755791744,119N04382
3664250701335448306,119N05921
3664580005066143639,119N04590
3666298223911746925,119N07010
3670633645505988213,119P17219
3664568533204736615,119-04650
3664997536015719495,119P04408
3658374833885543184,119N14054
3665782625972664946,119P07009
3674458300993785782,119N05043
3682373977261701606,119N05876
3669042287107849518,119-04471
3658127894737081420,119P07075
3672599980316918162,119N04677
3667767081250690354,119P16836
3671808924652859644,119+04390
3664947740164899189,119+07009
3678382071449423660,119P06998
3666127477488062551,119N04597
3668340974783107965,119P13792
3671680706994469902,119N17270
3672478961024993265,119N04382
3649019759457689487,119N04665
3678397889813707098,119+06999
3664907998835461247,119P04558
3668408813793016920,119-17319
3661869030298657157,119+04589
3666975119348356538,119-07151
3668360774583169157,119P17197
3676725837572356429,119P12929
3665779812769088649,119N07009
3661548183358094480,119N05952
3672680029918230760,119N14223
3652289268950198854,119-10219
3685136057846139280,119N04431
3670888946949995985,119N14252
3672281177779844010,119P14229
3666509605023370470,119P13798
3659013787579706980,119+07048
3669506714806232860,119-04418
3676526216082339600,119P12929
3681247445997099288,119P07043
3672577186927443825,119N09646
3655106501211977805,119N14029
3664315559634645063,119N04589
3665034086187409710,119-07008
3659336764825326429,119P14054
3672320760198448216,119N04441
3664987000463517591,119P04556
3665860064233488504,119-04649
3670371605256230806,119P04679
3668968186037869363,119N17205
3671769840450821845,119P17270
3675846537508801270,119+07266
3676715757284016241,119-16497
3668374668802584245,119+04552
3672873883268274855,119N17285
3664176703343903880,119P04558
3664455060173357990,119+05951
3660151803587766450,119+04671
3664564796583249455,119-04650
3668665266287081405,119-06947
3673510225618148934,119P05043
3672002473058939681,119P17226
3659520701092616880,119P04399
3669107604970392045,119N04422
3655634846612184314,119N04669
3657690332058769816,119+07075
3664994228890901744,119P07008
3668254946588652155,119-05928
3670921017469836064,119P06951
3670620253797939596,119N16920
3672223925865470990,119P16873
3674437049498917181,119N04438
3667338615316103485,119P17204
3667464672603927459,119+17162
3665281802723586950,119-04554
3648241580103116840,119-05643
3678188432848903475,119P06998
3675757696109758998,119N05900
3690788780268425532,119N05150
3674143694644654074,119+17267
3666247457398296735,119N07010
3676622895796190410,119N12929
3651414208020340140,119N04667
3667145973147337215,119+04456
3668685229294270941,119N06949
3680545605390237054,119N04434
3668561242182633639,119P17251
3670646521817903576,119P04679
3677923862863695329,119+05904
3667330373273364958,119N14143
3672262451723505520,119N04682
3676275840961261820,119-05983
3671274226993282100,119+04681
3677974741045193488,119-11392
3672634005047824757,119N14197
3678878011323335075,119+16948
3651448395960016070,119N04667
3669533622776323375,119N04418
3669845012199033081,119P14248
3664985669021234538,119-13003
3665304634770245308,119+17342
3665780723302852690,119N04610
3668341258252439883,119-04571
3669351945659783265,119N07053
3669578419285083770,119N04606
3662798555709403060,119P04404
3671214763171362354,119N17200
3665003007803458736,119+04661
3668527569634773540,119P06949
3662910577049666662,119-05921
3667764929475822920,119-04573
3669533472451255570,119P14248
3664133212505066513,119N05921
3678124888807772830,119N04627
3664843046045037298,119P05920
3668138269507295266,119N04576
3671160131184530684,119+04636
3684951546052272729,119+09614
3673406180035403614,119N05043
3665876926275067897,119-04415
3669680210008920830,119P14248
3666991710807909399,119P04550
3670591095264948051,119P04679
3672725882989188150,119P07034
3672206325089602734,119P16873
3668119814032697111,119N04543
3668094976236818541,119P17205
3672345709664545400,119N04682
3659735861774405372,119P04400
3672917176538083900,119-04681
3661073271644962799,119-14313
3668835879569654361,119N13792
3671501619741805504,119+04681
3676586087926459110,119N05909
