TAIR,stormw,F
TAIR,0,K
TDEW,0,K
TPVT,0,C
TPVT,stormw,F
KRTPVT,0,C
KTSSRF,0,C
PRBAR,0,mbar
PRSUR,0,Pa
RH,0,%
VIS,0,m
CONPVT,0,V
GSTWND,0,m/s
GSTWND,stormw,mph
SPDWND,0,m/s
SPDWND,stormw,mph
COVCLD,0,%
COVCLD,metro,oct
RTEPC,0,mm/s
RTEPC,mrms,mm/hr
STG,0,ft
SPDLNK,0,mph
SPFLNK,0,mph
TSSRF,0,C
DPHLIQ,0,mm
DPHSN,0,mm
DPHLNK,0,ft
TRFLNK,0,%
SPDLNK,ladotd,kph
DPHLIQ,adcirc,ft
DPHSN,metro,mmle
TAIR,wxde,C
DPHLNK,wxde,mm
PRSUR,wxde,mbar
TDEW,wxde,C
SPDLNK,geotab,kph
SPDVEH,0,mph
SPDVEH,geotab,kph
SSCST,0,m
