ramp,isMetered,archiveId,realTimeId,name,physicalLon,physicalLat,iNode,jNode,imrcpId,segmentId,detectedLon,detectedLat
x,,7337,348,I-435 W @ STATE LINE RD OR,-946085000,389367001,-2147483648,-2147483648,402223314,1316659072,-946092689,389372431
,,7338,350,I-35 N @ I-35NB TO 1-635NB FF,-946719999,390402000,-2147483648,-2147483648,298893859,1205796888,-946722359,390402361
x,,7339,351,I-70 E @ VAN BRUNT BLVD OR,-945179619,390704140,-2147483648,-2147483648,318906103,1330405737,-945183369,390706751
,,7340,352,I-35 S @ I-35SB TO I-635NB FF,-946702999,390421000,-2147483648,-2147483648,487914994,1201379868,-946699189,390411611
x,,7341,353,I-70 W @ VAN BRUNT BLVD FR,-945184049,390710850,-2147483648,-2147483648,435735497,1293964488,-945188200,390711001
,,7342,354,I-35 N @ I-635NB TO I-35NB FF,-946692000,390409001,-2147483648,-2147483648,485909288,1127419945,-946690930,390407531
x,,7343,355,I-70 W @ BROADWAY OR,-945875000,391073001,-2147483648,-2147483648,472919084,1301285284,-945875110,391074741
x,x,7344,356,I-435 W @ WORNALL RD OR,-945987999,389401001,14787,610,420417531,1224852188,-945988569,389402351
x,,7345,359,I-70 W @ 31ST STREET OR,-945136130,390700650,-2147483648,-2147483648,290545518,1183852965,-945135999,390699341
x,,7346,360,I-70 W @ 31ST STREET FR,-945113579,390691790,-2147483648,-2147483648,373306739,1208413000,-945116629,390693170
x,,7347,361,I-70 E @ 31ST STREET OR,-945092790,390676430,-2147483648,-2147483648,325690039,1150331455,-945092819,390676891
x,,7348,362,I-35 S @ LAMAR AVE OR,-946594000,390437001,-2147483648,-2147483648,481265416,1265237167,-946577039,390446240
x,,7349,363,I-70 E @ 31ST STREET FR,-945107409,390682801,-2147483648,-2147483648,381921048,1223026439,-945105740,390682631
x,,7350,364,I-35 N @ LAMAR AVE FR,-946587999,390439001,-2147483648,-2147483648,454925505,1091470593,-946580799,390440571
x,,7351,365,I-70 W @ MANCHESTER TRFWY OR,-944990640,390635560,-2147483648,-2147483648,346801972,1129825399,-944994920,390639071
x,,7352,367,I-70 E @ MANCHESTER TRFWY FR,-944996809,390631801,-2147483648,-2147483648,354442442,1197402356,-944992289,390627200
x,,7353,368,I-35 S @ LAMAR AVE FR,-946555000,390454001,-2147483648,-2147483648,315242392,1215223442,-946555369,390455241
x,,7354,370,I-35 S @ 18TH ST EXPRESSWY OR,-946484399,390476431,-2147483648,-2147483648,413281223,1236458792,-946484289,390476571
x,,7355,371,I-70 E @ MANCHESTER TRFWY FR,-944967689,390625490,-2147483648,-2147483648,483312510,1197402356,-944992389,390627111
x,,7356,372,I-35 S @ 18TH ST EXPRESSWY FR,-946483120,390466781,-2147483648,-2147483648,398760485,1289655172,-946483110,390467150
x,,7357,373,I-35 N @ 18TH STREET OR,-946437300,390480120,-2147483648,-2147483648,497297278,1293127586,-946437509,390480150
x,,7358,377,I-70 W @ I-70WB TO I-435SB OR,-944880999,390591001,-2147483648,-2147483648,460771581,1304781716,-944887520,390586540
x,,7359,379,I-35 N @ PENN VALLEY PKWY OR,-945933999,390802000,-2147483648,-2147483648,357177193,1181466969,-945929239,390802030
x,,7360,380,I-70 W @ DELEWARE  OR,-945843999,391068000,-2147483648,-2147483648,466469502,1258094885,-945846679,391071201
x,,7361,381,I-435 W @ QUIVIRA RD OR,-947252389,389355751,11623,11657,530410902,1126729619,-947252479,389356281
x,x,7362,382,I-435 E @ WORNALL RD OR,-945950999,389406001,604,14785,282456888,1098164005,-945950480,389404020
