segId,detId
1073884882,7762
1074301278,8017
1074361815,8107
1074742492,7812
1075036430,8423
1075657782,8467
1075967377,7323
1076331131,7874
1076716172,7301
1076800146,7800
1076987168,7419
1077075339,8345
1077134085,7634
1077228838,7479
1077423059,7505
1077618889,7767
1077927158,7843
1078116770,8076
1078286238,8022
1078365550,7630
1078409718,7882
1078448686,8384
1078746689,7433
1078920136,8367
1078956001,8222
1079065640,8323
1079140991,7425
1080062895,7410
1080794300,7435
1081143390,8397
1082362725,7533
1082525189,8341
1082700913,8043
1083189271,7912
1083389280,7959
1084427211,7448
1084573750,7765
1084902280,8431
1084956113,7694
1085135957,7781
1085457477,8086
1085719485,7997
1085954669,7689
1086092411,8318
1086278267,7603
1086581427,8054
1087997034,8081
1088043189,8330
1088310952,8377
1088460857,8075
1088786063,7639
1089080623,7595
1089513347,7693
1089581791,7998
1089901727,8400
1090099499,7663
1090738430,8171
1091210869,7942
1091458971,8299
1091470593,7350
1091710605,7725
1091756436,7987
1091828318,8045
1091997501,8103
1092171489,7909
1092377273,8015
1092405121,7999
1092720346,8293
1092732030,7334
1093010887,8292
1093114887,7384
1094517267,7322
1094628258,7914
1095707073,8320
1096180411,8194
1096246059,8344
1096499974,8401
1096652536,8146
1096755694,7485
1096883238,7741
1097125131,7947
1097376222,8403
1097471936,7986
1098124352,7798
1098164005,7362
1098893630,7321
1099138336,7960
1099140433,7673
1099313812,8459
1099402204,8091
1100085577,7566
1100570728,7901
1101379353,7823
1101591194,7580
1101605165,8012
1101726805,7417
1102605568,8128
1102927223,8429
1103062164,7683
1103137796,7510
1103316184,8260
1103402560,7623
1103476137,7615
1103509700,8366
1103525907,7680
1103661453,8421
1103764916,7569
1103916790,7578
1104579802,7955
1104983921,7403
1105006742,7878
1105051026,7840
1105059043,8255
1105209444,7557
1105498816,7387
1106150114,8325
1106384981,7649
1106417852,7899
1106424450,7624
1106758144,7376
1106836912,7964
1106851272,8182
1106905626,7502
1107204835,8135
1107246095,7988
1107476884,8218
1107599719,7788
1107883984,8243
1108236558,7319
1108366735,8037
1108466549,7724
1109139650,7721
1110397813,7799
1111046975,7497
1111051925,8087
1111687630,8197
1112048087,7324
1112395225,8281
1112486604,7660
1112641498,7451
1112720007,7735
1113010467,7527
1113933068,8303
1114546917,7915
1114557500,8266
1114744990,7691
1114911760,8340
1115003387,7848
1115028453,8109
1115049107,7875
1115433812,7363
1115610699,8066
1115666773,7297
1116318488,7305
1116379172,7307
1116733153,8270
1117194538,8116
1118288883,7872
1118596105,7622
1118648568,7640
1118922756,7806
1119052899,7936
1119213267,7620
1119430053,7887
1119542763,7824
1119912006,8191
1120072111,8381
1120239343,7844
1120255676,7708
1120256754,8280
1120824012,8412
1121818733,7488
1122127233,7399
1122503629,8149
1122713053,8025
1122737133,7463
1122778276,7391
1122974734,8131
